"Sample_no","Year","Planting_day","Planting_month","Harvest_day","Harvest_month","Treatment_Code","Rotation","Rep","Variety","Irrigation","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AFG2","AFG1","AFB2","AFB1","AFTotal"
130,"2002","06","05","07","10",6273,"6",2,"GA 982508","50","R","whole kernel reject","reject",292,292,0,0,0.1,0.6,0.7
131,"2002","06","05","07","10",2173,"2",1,"GA 982508","50","R","whole kernel reject","reject",NA,199.9,0,0,0.4,4.8,5.2
132,"2002","06","05","07","10",6263,"6",2,"GA Green diamond","50","R","whole kernel reject","reject",NA,200.1,0,0,0,0,0
133,"2002","06","05","07","10",2363,"2",3,"GA Green diamond","50","R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
134,"2002","06","05","07","10",2373,"2",3,"GA 982508","50","R","whole kernel reject","reject",NA,200,0,0,0.4,2.6,3
135,"2002","06","05","07","10",2183,"2",1,"AT 201","50","R","whole kernel reject","reject",NA,200,1.7,7,1.2,7.2,17.1
136,"2002","06","05","07","10",2163,"2",1,"GA Green diamond","50","R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
137,"2002","06","05","07","10",3383,"3",3,"AT 201","50","R","whole kernel reject","reject",NA,200,0.5,1.5,5.7,42.1,49.8
138,"2002","06","05","07","10",2283,"2",2,"AT 201","50","R","whole kernel reject","reject",NA,200.1,2,0,1.6,7.4,11
139,"2002","06","05","07","10",6283,"6",2,"AT 201","50","R","whole kernel reject","reject",NA,199.8,0,0,0.1,0.3,0.4
140,"2002","06","05","07","10",6363,"6",3,"GA Green diamond","50","R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
141,"2002","06","05","07","10",3163,"3",1,"GA Green diamond","50","R","whole kernel reject","reject",NA,200,0,0,0,0.2,0.2
142,"2002","06","05","07","10",2263,"2",2,"GA Green diamond","50","R","whole kernel reject","reject",NA,200.1,0,0,0,0,0
143,"2002","06","05","07","10",6153,"6",1,"GA Green twin","50","R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
144,"2002","06","05","07","10",3153,"3",1,"GA Green twin","50","R","whole kernel reject","reject",NA,200,0,0,0,0.1,0.1
145,"2002","06","05","07","10",2153,"2",1,"GA Green twin","50","R","whole kernel reject","reject",NA,200,0,0,0,0,0
146,"2002","06","05","07","10",3363,"3",3,"GA Green diamond","50","R","whole kernel reject","reject",NA,200,0,0,0,0,0
147,"2002","06","05","07","10",6183,"6",1,"AT 201","50","R","whole kernel reject","reject",NA,200,0.3,2.7,0.4,3,6.4
148,"2002","06","05","07","10",3263,"3",2,"GA Green diamond","50","R","whole kernel reject","reject",NA,200,0,0,0,0,0
149,"2002","06","05","07","10",6163,"6",1,"GA Green diamond","50","LA","loose split kernel accept","accept",35.8,35.8,0,0,0,0.2,0.2
150,"2002","06","05","07","10",3153,"3",1,"GA Green twin","50","LA","loose split kernel accept","accept",42.3,42.3,0,0,0,0.3,0.3
151,"2002","06","05","07","10",3263,"3",2,"GA Green diamond","50","LA","loose split kernel accept","accept",37.8,37.8,0,0,0.2,0.9,1.1
152,"2002","06","05","07","10",6363,"6",3,"GA Green diamond","50","LA","loose split kernel accept","accept",62.6,62.6,0,0,0,0.4,0.4
153,"2002","06","05","07","10",3253,"3",2,"GA Green twin","50","LA","loose split kernel accept","accept",31.5,31.5,0,0,0.1,1,1.1
154,"2002","06","05","07","10",2363,"2",3,"GA Green diamond","50","LA","loose split kernel accept","accept",49.5,49.5,0,0,0,0.4,0.4
155,"2002","06","05","07","10",6153,"6",1,"GA Green twin","50","LA","loose split kernel accept","accept",41.5,41.5,0,0,0,0.5,0.5
156,"2002","06","05","07","10",3353,"3",3,"GA Green twin","50","LA","loose split kernel accept","accept",42,42,0,0,0,0.2,0.2
157,"2002","06","05","07","10",6253,"6",2,"GA Green twin","50","LA","loose split kernel accept","accept",38.7,38.7,0,0,0,0.1,0.1
158,"2002","06","05","07","10",2153,"2",1,"GA Green twin","50","LA","loose split kernel accept","accept",35.1,35.1,0,0,0,0.3,0.3
159,"2002","06","05","07","10",6353,"6",3,"GA Green twin","50","LA","loose split kernel accept","accept",41.5,41.5,0,0,0,0.2,0.2
160,"2002","06","05","07","10",2353,"2",3,"GA Green twin","50","LA","loose split kernel accept","accept",22.9,22.9,0,0,0.5,3.7,4.2
161,"2002","06","05","07","10",6263,"6",2,"GA Green diamond","50","LA","loose split kernel accept","accept",41.9,41.9,0,0,0,0.4,0.4
