"ï..Sample_no","Planting_Date","Harvest_Date","Analysis_Date","Rotation","Rep","Variety","Irrigation","Treatment_Code","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AT.G2","At.G1","AT.B2","AT.B1","AT.Total"
117,"06-05-2002","07-10-2002","12-02-2003","2",1,"AT 201","0",2184,"A","whole kernel accept","accept",NA,199.8,0,0,0.4,4,4.4
118,"06-05-2002","07-10-2002","12-02-2003","2",2,"GA 982508","0",2274,"A","whole kernel accept","accept",NA,200.1,0,0,0,0,0
119,"06-05-2002","07-10-2002","12-02-2003","6",3,"GA 982508","0",6374,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
120,"06-05-2002","07-10-2002","13-02-2003","2",2,"GA 982508","50",2273,"R","whole kernel reject","reject",252.7,252.7,0,0,1.6,17.4,19
121,"06-05-2002","07-10-2002","13-02-2003","6",3,"GA 982508","50",6373,"R","whole kernel reject","reject",226.9,226.9,0,0,0.3,1.8,2.1
122,"06-05-2002","07-10-2002","13-02-2003","2",3,"AT 201","50",2383,"R","whole kernel reject","reject",242.9,242.9,0,0,0.8,5.2,6
123,"06-05-2002","07-10-2002","13-02-2003","3",3,"GA 982508","50",3373,"R","whole kernel reject","reject",236.4,236.4,0,0,0.3,3.1,3.4
124,"06-05-2002","07-10-2002","13-02-2003","6",3,"AT 201","50",6383,"R","whole kernel reject","reject",253.9,253.9,0,0,0.4,3.8,4.2
125,"06-05-2002","07-10-2002","13-02-2003","6",1,"GA 982508","50",6173,"R","whole kernel reject","reject",228.9,228.9,0,0,0.1,0.4,0.5
126,"06-05-2002","07-10-2002","13-02-2003","3",1,"GA 982508","50",3173,"R","whole kernel reject","reject",283.5,283.5,0,0,0.3,2.2,2.5
127,"06-05-2002","07-10-2002","13-02-2003","3",1,"AT 201","50",3183,"R","whole kernel reject","reject",271.7,271.7,0,0,3.6,26.8,30.4
128,"06-05-2002","07-10-2002","13-02-2003","3",2,"AT 201","50",3283,"R","whole kernel reject","reject",222.7,222.7,0,0,1.1,7,8.1
129,"06-05-2002","07-10-2002","13-02-2003","3",2,"GA 982508","50",3273,"R","whole kernel reject","reject",264.1,264.1,0,0,0.3,2,2.3
130,"06-05-2002","07-10-2002","13-02-2003","6",2,"GA 982508","50",6273,"R","whole kernel reject","reject",292,292,0,0,0.1,0.6,0.7
131,"06-05-2002","07-10-2002","13-02-2003","2",1,"GA 982508","50",2173,"R","whole kernel reject","reject",NA,199.9,0,0,0.4,4.8,5.2
132,"06-05-2002","07-10-2002","13-02-2003","6",2,"GA Green diamond","50",6263,"R","whole kernel reject","reject",NA,200.1,0,0,0,0,0
133,"06-05-2002","07-10-2002","13-02-2003","2",3,"GA Green diamond","50",2363,"R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
134,"06-05-2002","07-10-2002","13-02-2003","2",3,"GA 982508","50",2373,"R","whole kernel reject","reject",NA,200,0,0,0.4,2.6,3
